filename,Site_Type,Site_Name,Site_Code,species_richness,Year,ACI_11k,ACI_24k,ADI,AEI,BI_11k,BI_24k,H,NDSI,NP_11k,NP_24k
AM_SD11_20200217_074000-2,Unrestored,Amjhar,AM_2,5,2020,113.9419916,300.7171226,2.302564,0.003566,1.284102788,1.107035385,0.96295581,0.512679202,20,49
AM_SD11_20200217_074000-3,Unrestored,Amjhar,AM_2,4,2020,113.7172804,299.8288587,2.302566,0.003107,1.184230913,1.053465687,0.965379925,0.454181515,26,60
AM_SD11_20200217_074000-4,Unrestored,Amjhar,AM_2,4,2020,113.9241965,301.6264996,2.302552,0.004367,1.241211851,1.107067716,0.967044174,0.564022066,22,57
AM_SD11_20200217_074000-5,Unrestored,Amjhar,AM_2,5,2020,114.449063,300.3893768,2.302522,0.005538,1.248911367,1.074749955,0.965754071,0.499826133,25,63
AM_SD11_20200217_074000-6,Unrestored,Amjhar,AM_2,5,2020,116.0119006,304.1787416,2.302526,0.005786,1.754524903,1.583176451,0.968101151,0.407110458,27,60
AM_SD11_20200217_075000-1,Unrestored,Amjhar,AM_2,4,2020,116.1990209,303.7744304,2.302565,0.003349,1.814488424,1.364591827,0.9632165,0.621870791,24,58
AM_SD11_20200217_075000-2,Unrestored,Amjhar,AM_2,6,2020,114.4919099,303.4422378,2.302552,0.004281,1.550591002,1.352902082,0.965295079,0.409731735,29,63
AM_SD11_20200217_075000-3,Unrestored,Amjhar,AM_2,4,2020,114.6052071,302.5085307,2.302569,0.003111,1.413868418,1.239495988,0.968833195,0.60653885,22,55
AM_SD11_20200217_075000-4,Unrestored,Amjhar,AM_2,5,2020,115.7152932,302.4057768,2.302556,0.004122,1.999392491,1.764576183,0.970979141,0.334968453,22,59
AM_SD11_20200217_075000-4(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
AM_SD11_20200217_075000-5,Unrestored,Amjhar,AM_2,5,2020,115.1815609,302.0141439,2.302548,0.004678,2.372654035,2.250371495,0.971343314,0.677804105,22,56
AM_SD11_20200217_075000-6,Unrestored,Amjhar,AM_2,6,2020,114.3718966,303.122755,2.302412,0.010185,7.561300748,4.834439996,0.962601249,0.825077296,22,57
AM_SD11_20200217_075000-6(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
AM_SD11_20200218_054000-1,Unrestored,Amjhar,AM_2,2,2020,113.5257424,299.8987199,2.302582,0.001347,1.081014171,0.913836046,0.970346668,0.019650881,24,62
AM_SD11_20200218_054000-1(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
